## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[mother_sorted.bam] OUTPUT=mother_dedup.bam METRICS_FILE=mother_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 04:57:40 AST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	9107	1766992	1760	9107	5949	500710	179	0.284319	2496363

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.00007	899960	0	900059
2.0	1.492818	269786	179	269741
3.0	1.735602	70847	0	70812
4.0	1.855225	18075	0	18060
5.0	1.914165	5071	0	5068
6.0	1.943205	1568	0	1569
7.0	1.957514	526	0	524
8.0	1.964564	217	0	217
9.0	1.968038	111	0	111
10.0	1.969749	46	0	46
11.0	1.970593	30	0	30
12.0	1.971008	11	0	11
13.0	1.971213	7	0	7
14.0	1.971314	10	0	10
15.0	1.971363	4	0	4
16.0	1.971388	7	0	7
17.0	1.9714	3	0	3
18.0	1.971406	0	0	0
19.0	1.971409	0	0	0
20.0	1.97141	1	0	1
21.0	1.971411	1	0	1
22.0	1.971411	1	0	1
23.0	1.971411	0	0	0
24.0	1.971411	0	0	0
25.0	1.971412	0	0	0
26.0	1.971412	0	0	0
27.0	1.971412	0	0	0
28.0	1.971412	0	0	0
29.0	1.971412	0	0	0
30.0	1.971412	0	0	0
31.0	1.971412	0	0	0
32.0	1.971412	0	0	0
33.0	1.971412	0	0	0
34.0	1.971412	0	0	0
35.0	1.971412	0	0	0
36.0	1.971412	0	0	0
37.0	1.971412	0	0	0
38.0	1.971412	0	0	0
39.0	1.971412	0	0	0
40.0	1.971412	0	0	0
41.0	1.971412	0	0	0
42.0	1.971412	0	0	0
43.0	1.971412	0	0	0
44.0	1.971412	0	0	0
45.0	1.971412	0	0	0
46.0	1.971412	0	0	0
47.0	1.971412	0	0	0
48.0	1.971412	0	0	0
49.0	1.971412	0	0	0
50.0	1.971412	0	0	0
51.0	1.971412	0	0	0
52.0	1.971412	0	0	0
53.0	1.971412	0	0	0
54.0	1.971412	0	0	0
55.0	1.971412	0	0	0
56.0	1.971412	0	0	0
57.0	1.971412	0	0	0
58.0	1.971412	0	0	0
59.0	1.971412	0	0	0
60.0	1.971412	0	0	0
61.0	1.971412	0	0	0
62.0	1.971412	0	0	0
63.0	1.971412	0	0	0
64.0	1.971412	0	0	0
65.0	1.971412	0	0	0
66.0	1.971412	0	0	0
67.0	1.971412	0	0	0
68.0	1.971412	0	0	0
69.0	1.971412	0	0	0
70.0	1.971412	0	0	0
71.0	1.971412	0	0	0
72.0	1.971412	0	0	0
73.0	1.971412	0	0	0
74.0	1.971412	0	0	0
75.0	1.971412	0	0	0
76.0	1.971412	0	0	0
77.0	1.971412	0	0	0
78.0	1.971412	0	0	0
79.0	1.971412	0	0	0
80.0	1.971412	0	0	0
81.0	1.971412	0	0	0
82.0	1.971412	0	0	0
83.0	1.971412	0	0	0
84.0	1.971412	0	0	0
85.0	1.971412	0	0	0
86.0	1.971412	0	0	0
87.0	1.971412	0	0	0
88.0	1.971412	0	0	0
89.0	1.971412	0	0	0
90.0	1.971412	0	0	0
91.0	1.971412	0	0	0
92.0	1.971412	0	0	0
93.0	1.971412	0	0	0
94.0	1.971412	0	0	0
95.0	1.971412	0	0	0
96.0	1.971412	0	0	0
97.0	1.971412	0	0	0
98.0	1.971412	0	0	0
99.0	1.971412	0	0	0
100.0	1.971412	0	0	0

