## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[proband_sorted.bam] OUTPUT=proband_dedup.bam METRICS_FILE=proband_metrics.txt REMOVE_DUPLICATES=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false FLOW_MODE=false FLOW_QUALITY_SUM_STRATEGY=false USE_END_IN_UNPAIRED_READS=false USE_UNPAIRED_CLIPPED_END=false UNPAIRED_END_UNCERTAINTY=0 FLOW_SKIP_FIRST_N_FLOWS=0 FLOW_Q_IS_KNOWN_END=false FLOW_EFFECTIVE_QUALITY_THRESHOLD=15 ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Tue Mar 18 04:59:00 AST 2025

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	10546	2382008	2335	10546	7488	780953	243	0.328699	2786031

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	optical_sets	non_optical_sets
1.0	1.000064	1061239	0	1061338
2.0	1.425382	375624	243	375603
3.0	1.606266	114821	0	114790
4.0	1.683194	33275	0	33235
5.0	1.715911	10171	0	10170
6.0	1.729825	3428	0	3426
7.0	1.735743	1267	0	1263
8.0	1.73826	565	0	566
9.0	1.73933	284	0	283
10.0	1.739785	150	0	151
11.0	1.739979	70	0	69
12.0	1.740061	51	0	51
13.0	1.740096	39	0	39
14.0	1.740111	22	0	22
15.0	1.740117	12	0	12
16.0	1.74012	10	0	10
17.0	1.740121	9	0	9
18.0	1.740122	5	0	5
19.0	1.740122	1	0	1
20.0	1.740122	1	0	1
21.0	1.740122	1	0	1
22.0	1.740122	4	0	4
23.0	1.740122	1	0	1
24.0	1.740122	2	0	2
25.0	1.740122	0	0	0
26.0	1.740122	1	0	1
27.0	1.740122	0	0	0
28.0	1.740122	0	0	0
29.0	1.740122	1	0	1
30.0	1.740122	0	0	0
31.0	1.740122	0	0	0
32.0	1.740122	0	0	0
33.0	1.740122	0	0	0
34.0	1.740122	0	0	0
35.0	1.740122	0	0	0
36.0	1.740122	1	0	1
37.0	1.740122	0	0	0
38.0	1.740122	0	0	0
39.0	1.740122	0	0	0
40.0	1.740122	0	0	0
41.0	1.740122	0	0	0
42.0	1.740122	0	0	0
43.0	1.740122	0	0	0
44.0	1.740122	0	0	0
45.0	1.740122	0	0	0
46.0	1.740122	0	0	0
47.0	1.740122	0	0	0
48.0	1.740122	0	0	0
49.0	1.740122	0	0	0
50.0	1.740122	0	0	0
51.0	1.740122	0	0	0
52.0	1.740122	0	0	0
53.0	1.740122	0	0	0
54.0	1.740122	0	0	0
55.0	1.740122	0	0	0
56.0	1.740122	0	0	0
57.0	1.740122	0	0	0
58.0	1.740122	0	0	0
59.0	1.740122	0	0	0
60.0	1.740122	0	0	0
61.0	1.740122	0	0	0
62.0	1.740122	0	0	0
63.0	1.740122	0	0	0
64.0	1.740122	0	0	0
65.0	1.740122	0	0	0
66.0	1.740122	0	0	0
67.0	1.740122	0	0	0
68.0	1.740122	0	0	0
69.0	1.740122	0	0	0
70.0	1.740122	0	0	0
71.0	1.740122	0	0	0
72.0	1.740122	0	0	0
73.0	1.740122	0	0	0
74.0	1.740122	0	0	0
75.0	1.740122	0	0	0
76.0	1.740122	0	0	0
77.0	1.740122	0	0	0
78.0	1.740122	0	0	0
79.0	1.740122	0	0	0
80.0	1.740122	0	0	0
81.0	1.740122	0	0	0
82.0	1.740122	0	0	0
83.0	1.740122	0	0	0
84.0	1.740122	0	0	0
85.0	1.740122	0	0	0
86.0	1.740122	0	0	0
87.0	1.740122	0	0	0
88.0	1.740122	0	0	0
89.0	1.740122	0	0	0
90.0	1.740122	0	0	0
91.0	1.740122	0	0	0
92.0	1.740122	0	0	0
93.0	1.740122	0	0	0
94.0	1.740122	0	0	0
95.0	1.740122	0	0	0
96.0	1.740122	0	0	0
97.0	1.740122	0	0	0
98.0	1.740122	0	0	0
99.0	1.740122	0	0	0
100.0	1.740122	0	0	0

